doc_name,doc_link,rubrik,section,meeting_date,meeting_time,meeting_reference,verksamhetsorgan,parent_link
sammantradesuppgifter_och_deltagande_185717.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185717,Sammanträdesuppgifter och deltagande,§ 0,18.12.2023,16:46,17/2023,Stadsstyrelsen,
sammantradets_konstituerande_185727.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185727,Sammanträdets konstituerande,§ 278,18.12.2023,16:46,17/2023,Stadsstyrelsen,
anmalningsarenden_185729.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185729,Anmälningsärenden,§ 279,18.12.2023,16:46,17/2023,Stadsstyrelsen,
utlatande_om_utkast_till_investeringsprogrammet_for_statens_trafikledsnat_for_20252032_innehaller__185924.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924,Utlåtande om utkast till investeringsprogrammet för statens trafikledsnät för 20252032 (innehåller personuppgifter),§ 280,18.12.2023,16:46,17/2023,Stadsstyrelsen,
begaran_om_utlatande_trafikledsverket_185233.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185233&version=1,"Begäran om utlåtande, Trafikledsverket",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
investeringsprogrammet_for_statens_trafikledsnat_for_2025_2032_utkast_185235.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185235&version=1,"Investeringsprogrammet för statens trafikledsnät för 2025-2032, utkast",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
konsekvensbedomning_vid_utarbetandet_av_investerings_och_planeringsprogrammet_185237.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185237&version=1,Konsekvensbedömning vid utarbetandet av investerings- och planeringsprogrammet,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
bil_1_banprojekt_185239.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185239&version=1,Bil. 1 Banprojekt,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
bil_2_landsvagsprojekt_185241.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185241&version=1,Bil. 2 Landsvägsprojekt,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
bil_3_farledsprojekt_185243.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185243&version=1,Bil. 3 Farledsprojekt,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
bil_4_projekt_utanfor_investeringsprogrammet_185245.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185245&version=1,Bil. 4 Projekt utanför investeringsprogrammet,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
bil_5_uppfoljning_185247.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185247&version=1,Bil. 5 Uppföljning,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185924
utlatande_over_ansokan_om_undantag_893_419_20_37_envik_goran_innehaller_personuppgifter__185733.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185733,Utlåtande över ansökan om undantag; 893-419-20-37 (Envik Göran) (innehåller personuppgifter),§ 281,18.12.2023,16:46,17/2023,Stadsstyrelsen,
undantag_karta_893_419_20_37_185469.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185469&version=1,"Undantag, karta 893-419-20-37",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185733
undantag_situationsplan_893_419_20_37_185471.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185471&version=1,"Undantag, situationsplan 893-419-20-37",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185733
undantag_planritning_893_419_20_37_185473.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185473&version=1,"Undantag, planritning 893-419-20-37",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185733
utlatande_over_ansokan_om_undantag_893_404_51_2_foxstock_finland_ab_185737.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185737,"Utlåtande över ansökan om undantag; 893-404-51-2, Foxstock Finland Ab",§ 282,18.12.2023,16:46,17/2023,Stadsstyrelsen,
foxstock_finland_sitplan_185418.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185418&version=1,Foxstock_Finland sitplan,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185737
foxstock_fasadskiss_norr_185420.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185420&version=1,Foxstock_Fasadskiss_Norr,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185737
foxstock_fasadskiss_vaster_185422.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185422&version=1,Foxstock_Fasadskiss_Vaster,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185737
karta_893_404_51_2_185424.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185424&version=1,karta 893-404-51-2,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185737
finansiering_av_allmanna_vagars_ytbelaggningsforbattringar_inom_detaljplaneomraden_ntm_centralens_f_185739.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185739,Finansiering av allmänna vägars ytbeläggningsförbättringar inom detaljplaneområden; NTM-centralens förfrågan,§ 283,18.12.2023,16:46,17/2023,Stadsstyrelsen,
ytbelaggning_av_vexalavagen_ntm_centralen_ely_185046.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185046&version=1,"Ytbeläggning av Vexalavägen; NTM-centralen, ELY",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185739
forminskning_av_arrendeomrade_for_fritidsbyggnadsplats_vid_kubban_185741.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185741,Förminskning av arrendeområde för fritidsbyggnadsplats vid Kubban,§ 284,18.12.2023,16:46,17/2023,Stadsstyrelsen,
rapport_om_byggnadsbestandets_varden_och_nyckeltal_185743.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185743,Rapport om byggnadsbeståndets värden och nyckeltal,§ 285,18.12.2023,16:46,17/2023,Stadsstyrelsen,
rapport_184645.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=184645&version=1,Rapport,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185743
brandstationers_hyresavtal_185745.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185745,Brandstationers hyresavtal,§ 286,18.12.2023,16:46,17/2023,Stadsstyrelsen,
anhallan_om_bidrag_for_utgivning_av_bok_m_holmlund_innehaller_personuppgifter__185747.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185747,"Anhållan om bidrag för utgivning av bok, M Holmlund (innehåller personuppgifter)",§ 287,18.12.2023,16:46,17/2023,Stadsstyrelsen,
anhallan_om_bidrag_for_2023_svenska_finlands_folkting_185751.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185751,Anhållan om bidrag för 2023; Svenska Finlands folkting,§ 288,18.12.2023,16:46,17/2023,Stadsstyrelsen,
beviljande_av_bidrag_for_allmannyttiga_samfund_kovjoki_hembygds_och_museiforening_185753.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185753,"Beviljande av bidrag för allmännyttiga samfund, Kovjoki hembygds- och museiförening",§ 289,18.12.2023,16:46,17/2023,Stadsstyrelsen,
kovjoki_hembygds_o_museiforening_anhallan_om_fastighetskattens_bidrag_2023_185278.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185278&version=1,Kovjoki hembygds-o.museiförening Anhållan om fastighetskattens bidrag -2023,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185753
beviljande_av_bidrag_for_allmannyttiga_samfund_finlands_svenska_baptistsamfund_185755.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185755,"Beviljande av bidrag för allmännyttiga samfund, Finlands svenska baptistsamfund",§ 290,18.12.2023,16:46,17/2023,Stadsstyrelsen,
beviljande_av_bidrag_for_allmannyttiga_samfund_stiftelsen_juthbacka_185757.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185757,Beviljande av bidrag för allmännyttiga samfund; Stiftelsen Juthbacka,§ 291,18.12.2023,16:46,17/2023,Stadsstyrelsen,
ansokan_om_bidrag_for_fastighetsskatt_2022_och_2023_stiftelsen_juthbacka_185299.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185299&version=1,"Ansökan om bidrag för fastighetsskatt 2022 och 2023, Stiftelsen Juthbacka",,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185757
tillaggsfinansiering_for_skiss_och_arkitektplaneringar_185759.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185759,Tilläggsfinansiering för skiss- och arkitektplaneringar,§ 292,18.12.2023,16:46,17/2023,Stadsstyrelsen,
rusmedelsforebyggande_plan_185761.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185761,Rusmedelsförebyggande plan,§ 293,18.12.2023,16:46,17/2023,Stadsstyrelsen,
rusmedelsforebyggande_plan_2023_2028_181643.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=181643&version=1,Rusmedelsförebyggande plan 2023-2028,,18.12.2023,16:46,17/2023,Stadsstyrelsen,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185761
tillstand_for_utlandsresa_stadsdirektor_185763.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185763,"Tillstånd för utlandsresa, stadsdirektör",§ 294,18.12.2023,16:46,17/2023,Stadsstyrelsen,
sokande_av_andring_185723.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185723,Sökande av ändring,§ 0,18.12.2023,16:46,17/2023,Stadsstyrelsen,
sammantradesuppgifter_och_deltagande_185700.pdf,https://kungorelse.nykarleby.fi:8443/ktwebbin/ktproxy2.dll?doctype=3&docid=185700,Sammanträdesuppgifter och deltagande,§ 0,18.12.2023,15:04,6/2023,Personalsektionen,
